Pr_Address,Pr_Created,Pr_Tx_Count,Pr_Liquidity_USD,Pr_Liquidity_ETH,Pr_Token0_Name,Pr_Token1_Name,Pr_Token0_Ticker,Pr_Token1_Ticker,Pr_Token0_Decimals,Pr_Token1_Decimals,Pr_Token0_Reserve,Pr_Token1_Reserve,Pr_Token0_Swapped,Pr_Token1_Swapped,Pr_Token0forToken1,Pr_Token1forToken0,All_Token0_Trade_Volume,All_Token0_Trade_Volume_USD,All_Token0_Txs,All_Token0_Liquidity,All_Token0_Price_ETH,All_Token1_Trade_Volume,All_Token1_Trade_Volume_USD,All_Token1_Txs,All_Token1_Liquidity,All_Token1_Price_ETH,Reported
0x1F6a7d520c828b9ff22A267A187dD2f170e44a8f,2021-02-24T15:59:45Z,137,421611.78049902315,254.73399926286356,Font,Wrapped Ether,FONT,WETH,18,18,41061.158176301,127.36699963143178,177986.54458161595,350.364954428004,322.3845917319378,0.003101885219227531,177986.54458161595,98372.16345061375,137,41061.158176301,0.003101885219227531,156926739.44193327,92773925622.65936,28548684,1092978.9142699146,1,TRUE
0x866A1E206a71272B2bd8094e4C539B3ef1DC68bC,2021-02-24T16:14:16Z,1,9974.630109015376,5.9959056762917164,Dai Stablecoin,ZYF,DAI,ZYF,18,18,10000,100,0,0,100,0.01,10886206894.993618,10816733892.789774,1687831,129095102.53297612,6.042836290746604e-4,0,0,1,100,0,TRUE
0x543749EA4d6241e86dA478101493ec8238b9F376,2021-02-24T17:49:10Z,1,2051.197072567183,1.245144479930222,Neutrino USD,Polkamarkets,USDN,POLK,18,18,1000,386.14958262805357,0,0,2.589670026817609,0.38614958262805354,24262459.74842261,1255246.7195167723,10259,2629268.065577052,5.970405964501709e-4,21660254.15997024,51309276.59546981,6370,320976.865185699,0.0016564595165846066,TRUE
0x319eAd06eb01E808C80c7eb9bd77C5d8d163AddB,2021-02-24T17:54:18Z,1,81.88864730980676,0.0497,Scarcity,Wrapped Ether,SCX,WETH,18,18,0.98,0.0497,0,0,19.718309859154928,0.05071428571428571,639.5840621536183,0,34,636.8082131853548,0,156939761.59246877,92794850970.3366,28551950,1094405.6502024538,1,TRUE
0x67210Bf019Dda5c3A3c614d36dD9718b67538eC1,2021-02-24T18:10:05Z,1,251.00266907504442,0.151883,Wrapped Ether,EGG Protocol,WETH,EGG,18,18,0.151883,5000,0,0,3.03766e-5,32920.076637938415,156946583.81635907,92805852405.19226,28553639,1094082.778970474,1,1962360.6882615613,0,259,7028.673703889961,0,TRUE
0x5Cc71cED816f13FCFF838Cf378aa005B992d9286,2021-02-24T22:56:05Z,1,15.927464853859284,0.01,jennebele,Wrapped Ether,jen,WETH,18,18,0.1,0.01,0,0,10,0.1,0,0,1,0.1,0,157075045.4005886,93006918334.94566,28583326,1098607.8987320315,1,TRUE
0xd141c76eD0C9E4676a9c14eD1d525864C22cE894,2021-02-24T23:33:34Z,1,50121.36339628711,31.14640923551879,Dirham,Dai Stablecoin,DHS,DAI,18,18,183625,50000,0,0,3.6725,0.27229407760381213,0,0,1,183625,0,10905652996.815247,10836044419.176306,1689101,128477153.30822943,6.232082347081e-4,TRUE
0xbaECA7C35346a8d31811eF971F38603012A12c1e,2021-02-24T23:44:34Z,1,17.022613785046936,0.010566671920018176,Wrapped OXEN,Tether USD,wOXEN,USDT,9,6,20,17,0,0,1.1764705882352942,0.85,0,0,1,20,0,16232688097.550066,14931345398.046738,3113028,224785336.196814,6.223329361443195e-4,TRUE
0xE73cCFEcF4c875C0Ff8c1184a8c6Ecb8d46b97a8,2021-02-24T23:53:02Z,1,37.304668983620715,0.022996087361035953,Bitpanda Ecosystem Token,USD//C,BEST,USDC,8,6,18.18257216,25,0,0,0.7273028864,1.3749429827644364,186641.16550454,0,316,6447.35319174,4.1702146392357144e-4,19241663838.124294,18205914145.24606,2801984,258207265.572655,6.16724422972153e-4,TRUE
0xc3BE40243bA58d816769361658D844119756f088,2021-02-24T23:54:10Z,1,10.027822848175028,0.006180469716,DFX Token,Wrapped Ether,DFX,WETH,18,18,10,0.006180469716,0,0,1617.9999999210415,6.180469716e-4,0,0,1,10,0,157093246.87912917,93035452491.98022,28588262,1098837.7227489904,1,TRUE
0x67483a1229B1304D9DF461Fb8e7671b1bd66E3fA,2021-02-25T00:16:05Z,1,926.0256976936435,0.5708647736914342,USD//C,Bondly Token,USDC,BONDLY,6,18,476.666743,748.7352589624991,0,0,0.6366292187982484,1.5707730190073257,19242633138.682106,18206846159.06705,2802154,258262189.670997,6.162215194220434e-4,1069842878.0479463,258636243.61446667,79641,5887197.691299148,3.704894750473867e-4,TRUE
0x2FBa756C64d4F9dBB17F1B3A1AfB5F05af7f18C0,2021-02-25T00:45:40Z,5,667556.9062103295,403.78631795431306,xToken,Wrapped Ether,XTK,WETH,18,18,6346807.002432422,201.89315897715653,2270628.519502788,87.10400334982441,31436.4638930165,3.181019351932093e-5,2270628.519502788,144004.08436157575,5,6346807.002432422,3.181019351932093e-5,157112447.27972105,93066348738.40599,28592507,1098053.93424761,1,TRUE
0x3F1ee879552f79Bd23E1Daf8e3F2377242707635,2021-02-25T01:40:05Z,2,216305.0055944018,131.06461647479864,renZEC,SushiToken,renZEC,SUSHI,8,18,817.69381093,7045.348893347614,13.45650847,114.40341869337257,0.11606150714581161,8.616121094685333,73204.91328748,6490932.0453829095,2042,5331.13991727,0.0812551238370576,368964755.8861135,1343502567.562839,243420,156300.3634937921,0.00911763605393536,TRUE
0xe563eF8bF4Fc08CCA4e10adf8eda50d95b7038bd,2021-02-25T04:08:25Z,1,47.867769890760854,0.03,Module Token,Wrapped Ether,MODL,WETH,18,18,30000,0.03,0,0,1000000,1e-6,0,0,1,30000,0,157181789.41833764,93177082313.31934,28609505,1105745.9673161034,1,TRUE
0xfA856b8Be81cE03ab3B0cc724a838d34833686B7,2021-02-25T04:47:36Z,1,479283.8278709739,300,Protocol.fractal.id,Wrapped Ether,FCL,WETH,18,18,8000000,300,0,0,26666.666666666668,3.75e-5,0,0,1,8000000,0,157193652.0451406,93195572084.37001,28612537,1105467.0392494646,1,TRUE
0x34906814353634e53caD71E75E86dc3c61F48C87,2021-02-25T05:23:31Z,1,320142.53224221116,200,oxygen.org,Wrapped Ether,OXY,WETH,18,18,4000000,200,0,0,20000,5e-5,0,0,1,4000000,0,157205548.41522947,93214205072.1537,28615194,1103199.6194119693,1,TRUE
0x31C00d34C4041fE957591C0b1f18eB6D992489e3,2021-02-25T05:53:43Z,2,4031.814337384616,2.5,BZ Token,Wrapped Ether,BZT,WETH,8,18,901.08129756,2.5,598.91870244,1,360.432519024,0.002774444444435418,598.91870244,0,2,901.08129756,0,157215669.139548,93230097602.91306,28617600,1103492.6717158111,1,TRUE
0xBDbf1Cb3bCBD601A7Aa5f77Ac8f56639cf44e5eE,2021-02-25T06:35:54Z,1,242430.71617867672,150,Wrapped Ether,Defiwizard.xyz,WETH,DWZ,18,18,150,300000,0,0,5e-4,2000,157229676.988281,93252295615.6423,28621051,1102670.9610977322,1,0,0,1,300000,0,TRUE
0xBcCd87509C124c8960005b64e301AF7b64104b34,2021-02-25T07:38:37Z,1,480.3542965951036,0.29292527583061045,Plasma,Balancer,PPAY,BAL,18,18,1373.694586416673,6.23870871,0,0,220.18892855420285,0.004541554412232107,637786543.3775791,22288130.43407903,31064,2537463.7458198066,1.0569403957988888e-4,3917508.9937367924,60744729.71405088,51711,77589.07143447659,0.023680212157750753,TRUE
0xE60302cF77c2c9f53c421f9c84faa252C94045A4,2021-02-25T08:27:23Z,1,322761.0843151868,200,Wrapped Ether,Fractal Protocol,WETH,FCL,18,18,200,3300000,0,0,6.0606060606060605e-5,16500,157269378.62845597,93315642461.85703,28630457,1102522.3915987527,1,0,0,1,3300000,0,TRUE
